method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
SPI+CBU (ours),14,56.32535835,60.13263047,30.46423302,89.80102793
SPI+CBU (ours),28,42.32535835,43.80739415,15.80920794,71.80558036
SPI+CBU (ours),42,28.32535835,30,6.662739831,53.33726017
SPI+CBU (ours),56,14.32535835,21.56217155,6.839454143,36.28488896
SPI+CBU (ours),70,0.325358353,2.719142505,0,23.31690782
SPI+TBU,14,56.32535835,386,,
SPI+TBU,28,42.32535835,386,,
SPI+TBU,42,28.32535835,82.25436697,,
SPI+TBU,56,14.32535835,39.50020919,,
SPI+TBU,70,0.325358353,8.792991534,,
Lin,14,56.32535835,137,,
Lin,28,42.32535835,137,,
Lin,42,28.32535835,214.5119125,,
Lin,56,14.32535835,117.4579402,,
Lin,70,0.325358353,30,,
Log-Bayes,14,56.32535835,562.6028668,,
Log-Bayes,28,42.32535835,562.6028668,,
Log-Bayes,42,28.32535835,562.6028668,,
Log-Bayes,56,14.32535835,562.6028668,,
Log-Bayes,70,0.325358353,562.6028668,,
Wiener,14,56.32535835,562.6028668,,
Weibull,14,56.32535835,562.6028668,,
Wiener,28,42.32535835,562.6028668,,
Weibull,28,42.32535835,562.6028668,,
Wiener,42,28.32535835,562.6028668,,
Weibull,42,28.32535835,562.6028668,,
Wiener,56,14.32535835,150.7570882,,
Weibull,56,14.32535835,562.6028668,,
Wiener,70,0.325358353,32.01363794,,
Weibull,70,0.325358353,562.6028668,,
